,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,DOWNTOWN,30.4600572370685,-91.1820577474709,Poor Boy Lloyd's,30.4493009428858,-91.1893716720494,Cajun / Creole Restaurant
1,DOWNTOWN,30.4600572370685,-91.1820577474709,Schlittz & Giggles,30.4493432266346,-91.1883024215783,Pizza Place
2,DOWNTOWN,30.4600572370685,-91.1820577474709,Little Village,30.451249938772,-91.188299032802,Italian Restaurant
3,DOWNTOWN,30.4600572370685,-91.1820577474709,Cocha,30.451184,-91.184929,New American Restaurant
4,DOWNTOWN,30.4600572370685,-91.1820577474709,Capital City Grill,30.4479728429931,-91.1892858644912,American Restaurant
5,DOWNTOWN,30.4600572370685,-91.1820577474709,LaSalle Cafeteria,30.4532375207879,-91.1891099102201,American Restaurant
6,DOWNTOWN,30.4600572370685,-91.1820577474709,The Jambalaya Shoppe,30.451450982946,-91.1848588826508,Cajun / Creole Restaurant
7,DOWNTOWN,30.4600572370685,-91.1820577474709,Subway - One American Place,30.4525851342173,-91.1876383370766,Sandwich Place
8,DOWNTOWN,30.4600572370685,-91.1820577474709,Aztecas Mexican Cuisine,30.451244794229,-91.1896067949405,Mexican Restaurant
9,DOWNTOWN,30.4600572370685,-91.1820577474709,Downtown Seafood,30.4476562672284,-91.1880898475647,Seafood Restaurant
10,DOWNTOWN,30.4600572370685,-91.1820577474709,Serops Express,30.451633363074,-91.1852949857712,Middle Eastern Restaurant
11,DOWNTOWN,30.4600572370685,-91.1820577474709,Epic Buffet,30.4594942530437,-91.1916092918564,Buffet
12,DOWNTOWN,30.4600572370685,-91.1820577474709,The Kingfish,30.4483892019592,-91.1894353799682,American Restaurant
13,DOWNTOWN,30.4600572370685,-91.1820577474709,The Steakhouse at Hollywood Casino,30.459809,-91.188663,Steakhouse
14,DOWNTOWN,30.4600572370685,-91.1820577474709,GoYaYa's,30.4519496798003,-91.1860650547514,Food
15,DOWNTOWN,30.4600572370685,-91.1820577474709,Raising Cane's Chicken Fingers,30.449427,-91.188135,Fried Chicken Joint
16,DOWNTOWN,30.4600572370685,-91.1820577474709,Main Street Market,30.4520226334781,-91.1861683190228,Restaurant
17,DOWNTOWN,30.4600572370685,-91.1820577474709,Strand's Cafe,30.450338412696,-91.188952988968,Café
18,DOWNTOWN,30.4600572370685,-91.1820577474709,Flowers Foods,30.4495391845703,-91.1735610961914,Bakery
